Expr1000,ITEMDESCRIPTION,ITEMUNITE,ITEMSPECIFICATIONNO,ITEMBASICRATE,LABOURRATE
I No:52-31 / Pg No:438,"Cleaning the existing surface by mechanical means such as sand blasting so as to remove all the existing loose rust etc. Cleaning the existing concrete substrate to achieve maximum adhesion between the coating and substrate. Free the surface from loose material, grease and oil by water jet/mechanical means. Dry the surface completely. Providing and applying one coat of Two component, solvent free, substituted long chain nylon reticulant based coating/primer as approved by Engineer in charge. This should be followed by two coats of protective two component, acyclic polyisocyanate reticulant (APR) based, UV resistant coating as approved by Engineer in charge. Apply the coats by brush or spray at 4-6 hours interval between each coat. Manufacturer of the coating shall be Dakks ISO 9001:2015 accredited for manufacturing and design; & have a track record of supplying the anticarbonation coating internationally. Two Component, Air Drying, Acyclic, Polyisocyanate Reticulant (APR) based coating should have following properties: 1. Carbon dioxide diffusion equivalent air layer thickness (DIN EN 1062-6): > 200 m 2. Carbon dioxide diffusion resistance co-efficient (DIN EN 1062-6): > 1.0 X 10^5 3. Elongation of cured film shall be as per ASTM D 2370/98: > 17 % 4. Chloride Ion Diffusion (ASTM C 1556): > 8.61 X 10^-12 5. The top coat shall have a minimum 5 year track record of use in the weather conditions of the Mumbai region 6. Minimum DFT of the entire coating system: 250 micron 7. Solid content of the base coat material: > 95% 8. Solid content of the top coat material: > 37%",Sq.Mt.,As directed by Engineer-incharge,647,186
I No:52-32 / Pg No:439,"Cleaning the existing steel surface by mechanical means such as sand blasting so as to remove all the existing loose rust etc. Using cotton waste swab and apply Rusticide as approved by Engineer in charge rust converting, steel passivating, flash rust preventing sulphate and chloride free, non-alkaline, inorganic single component, and nano film forming surface passivator (conforms to IS 9077-1979 (reaffirmed 1997) App. B CI. 5.3.3 for procedure). After 24 hours remove the free / loose rust particles by simple dusting with brush. Providing and applying one coat of Two component, anti-corrosive, solvent free, substituted long chain nylon reticulant based coating/primer LCNR as approved by Engineer in charge. This should be followed by two coats of protective two component, acryclic polyisocyanate reticulant based, UV resistant anticorrosive coating of APR as approved by Engineer in charge. Apply the coats by brush or spray at 4-6 hours interval between each coat. Two Component, Air Drying, Acryclic Polyisocyanate Reticulant (APR) based Coating should have following properties: 1. Volume Solids: 40 ± 3% (Depending upon shade) 2. Adhesion (ASTM D 4541): > 500 psi (Concrete Failure) 3. Impact Resistance (ASTM G 14): 25 - 30 J 4. Conformance: IS 13213 5. Dry Film Thickness/Coat: 40-50 microns at recommended coverage It shall be applied as per manufacturer’s specification. (If scaffolding is required, same shall be provided and will be paid under relevant item)",Sq.Mt.,As directed by Engineer-incharge,661,18
I No:52-33 / Pg No:439,"Remove loose, disintegrated and porous concrete at cracks and joints. Repair the same with epoxy or polymer modified mortar. Drill injecting holes to a depth of 2-4 inches in the concrete depending upon width of cracks, extent of damage and dimension of structural elements. Fix the grouting nozzles. Clean all loose dust particles from the cracks and holes by blowing compressed air through all the nozzles in succession. Mix and place Polyurethane Based Leakage Sealing Grouting as approved by Engineer in charge. Mix one batch at a time using a bucket and drill connected to a stirrer. Polyurethane Based Leakage Sealing Grouting by using PU Foam Grout should have following minimum properties: 1. Viscosity @ 25°C: 1300 ± 400 cps 2. Specific Gravity: 1.16± 0.05 It shall be applied as per manufacturer’s specification. (If scaffolding is required, same shall be provided and will be paid under relevant item)",Kg.,As directed by Engineer-incharge,2647,743
I No:52-34 / Pg No:440,"It is ready to use inorganic, bio compatible, low viscosity, non hazardous, soil stabilizing two component colloidal silica base chemical grout. Providing and carrying out this grouting to stabilize the strata above the tunnel, foundations, cutting slope stabilization and sub structures by using ultimate fine Nano grout as approved by Engineer in charge. Drill injecting holes to required depth in loose soil strata. Fix the grouting pipes. Grout must be continuously stirred during addition of accelerator and fully mixed to transparent solution prior to grouting into the soil/strata. No white precipitates should remain in the grout mix. This is ultimate fine grouting can be completed by Nano grout. Solvent Free, Inorganic, Hydrophilic, Nonhazardous, Low Viscosity Chemical Grout for Stabilization and Consolidation of Sandy/Silty Soil should have following minimum properties: Grout: (Rate for fixing nozzle is not included in this item). 1) Specific Gravity: 1.2 ± 0.1 2) pH: 11.3 ± 0.1 3) Viscosity in B4 Ford cup at 28°C: 12-15 sec Accelerator: 1) Specific Gravity: 1.07 ± 0.01 2) pH: 7.0 ± 0.1 3) Viscosity in B4 Ford cup at 28°C: 10-12 sec Sungeogrout Mix: 1) Specific Gravity: 1.2 ± 0.1 2) Viscosity in B4 Ford cup at 28°C: 12-15 sec It shall be applied as per manufacturer’s specification. (If scaffolding is required, same shall be provided and will be paid under relevant item)",Kg.,As directed by Engineer-incharge,650,372
I No:52-35 / Pg No:441,"Removing loose rust from the reinforcement bars by wire brushing, light hammering etc. and applying sulphate and chloride free inorganic single component rust remover Rusticide as approved by Engineer in charge conforming to IS 9077. The rusted surface shall become blackish non rusted colour. After 24 hours of application of rust remover, loose particles shall be removed by brush. Apply one more coat of Rusticide. Apply bonding coat slurry of high performance acrylic polymer - Methyl 2-methylpropenoate copolymer with another enoate as approved by Engineer in charge on entire surface. Mix 1 Kg of acrylic polymer with 0.5 Kg of cement. Finish it with ready to use repair polymer modified mortar based on special cements, aldehyde based polymers with thixotropy modifying agents as approved by Engineer in charge (The Polymer Modified Mortar (PMM) should attain min. compressive strength of 20 N/mm2 in 1 day and 30 N/mm2 in 7 days) by adding 13 - 16% water by weight of polymer modified mortar for treatment to the damaged RCC members. Add 1 Kg of Migrating Corrosion Inhibiting Admixture as approved by Engineer in charge per 25 Kg bag of polymer modified mortar. After mixing polymer modified mortar, it can be trowel applied or sprayed. When applying by hand, polymer modified mortar must be forced tightly into the substrate to ensure complete contact",Kg.,As directed by Engineer-incharge,2219,453
I No:52-36 / Pg No:442,"Removing loose rust from the reinforcement bars by wire brushing, light hammering etc. and applying sulphate and chloride free inorganic single component rust remover Rusticide as approved by Engineer in charge conforming to IS 9077. The rusted surface shall become blackish non rusted colour. After 24 hours of application of rust remover, loose particles shall be removed by brush. Apply one more coat of Rusticide. Apply bonding coat slurry of high performance acrylic polymer - Methyl 2-methylpropenoate copolymer with another innovate as approved by Engineer in charge on entire surface. Mix 1 Kg of acrylic polymer with 0.5 Kg of cement. Finish it with ready to use repair polymer modified mortar based on special cements, formaldehyde based polymer with thixotropy modifying agents as approved by Engineer in charge (The Polymer Modified Mortar (PMM) should attain min. compressive strength of 20 N/mm2 in 1 day and 30 N/mm2 in 7 days) by adding 13 - 16% water by weight of polymer modified mortar for treatment to the damaged RCC members. Add 1 Kg of Migrating Corrosion Inhibiting Admixture as approved by Engineer in charge per 25 Kg bag of polymer modified mortar. After mixing polymer modified mortar, it can be trowel applied or sprayed. When applying by hand, polymer modified mortar must be forced tightly into the substrate to ensure complete contact",Sq.Mt.,As directed by Engineer-incharge,1479,221
I No:52-37 / Pg No:442,"Providing and fixing zinc alloy based galvanic disk type sacrificial anodes (50 mm dia, 18 mm thick) as approved by Engineer in charge to the reinforcement, that should have a 3 year track record of use in PWD projects, 4 year track record in corrosive region of abroad and pass 500 hours salt spray test as per ASTM B 117. The anode shall be connected to the reinforcement steel by connectors provided with the anode. Sacrificial Galvanic Anode should have following minimum properties: 1. Base: Zinc Alloy 2. Conformance: ASTM B 418 Type II 3. Zinc Mass: Min 40 g per anode 4. Geometry: Disc Type 5. Diameter: 50 mm 5. Height: 18 mm 6. Surface Area: 6751 sq mm It shall be applied as per manufacturer’s specification. (If scaffolding is required, same shall be provided and will be paid under relevant item)",Kg.,As directed by Engineer-incharge,1093,38
I No:52-38 / Pg No:443,"Rake out loose pointing mortar material atleast upto 50 mm in depth and clean with using a nylon brush or low-pressure compressed air. It may require more depth some times  epending upon the loss of integrity of existing mortar. Care is to be taken that the adjacent good and sound matrix is not disturbed. Provide anti-rooting treatment to entire recessed pointed area. Clean the joint area properly and pointing shall be done with High Viscosity having special thicxotropic chemicals along with long chain nylon reticulent (LCNR) Epoxy Resin Mortar as approved by Engineer in charge. Mix 2 kg Resin + 1 kg Hardener + 9-12 kg Quartz Sand (Graded) thoroughly to homogeneity using a slow speed (300-500 rpm) flame proof or air driven drill fitted with a mixing attachment. Hand press this mortar in the joint and finish the surface and allow the mortar to set for minimum 24 hours. (If scaffolding is required, same shall be provided and will be paid under relevant item)",R.Mt.,As directed by Engineer-incharge,72,37
I No:52-39 / Pg No:443,"Rake out loose pointing mortar material from the joints of the heritage stone masonry atleast upto 50 mm in depth and clean the same by using a nylon brush or low-pressure compressed air. It may sometimes require more depth depending upon the loss of integrity of existing mortar. Care is to be taken that the adjacent good and sound matrix is not disturbed. Provide anti-rooting treatment to entire recessed pointed area. Clean the joint area properly and pointing shall be filled with a special mix of lime base hydraulic mortar and water for masonry with highly sulphate resistant cement and silica aggregates as approved by Engineer in charge. This lime based mortar is based on special limes with thixotropic agents, aldehyde based polymer and selected sands having high abrasion resistance. Hand press this mortar in the joint and finish the surface and allow the mortar to set for minimum 24 hours. Mortar should have Compression Strength of Appr. 10 N/mm2.
(If scaffolding is required, same shall be provided and will be paid under relevant item)",R.Mt.,As directed by Engineer-incharge,522,372
I No:52-40 / Pg No:444,"Remove loose, disintegrated and porous concrete at cracks and joints. Repair the same with epoxy or polymer modified mortar. Drill injecting holes to a depth of 2 - 4 inches in the concrete depending upon width of cracks, extent of damage and dimension of structural elements. Fix the grouting nozzles. Clean all loose dust particles from the cracks and holes by blowing compressed air through all the nozzles in succession. Whenever required grouting nozzle can be introduced for subsequent cementitious lime grout which is based on special limes with thixotropic agents, aldehyde based polymer and selected sands having high abrasion resistance by using Lime based Hydraulic Injection Suspension as approved by Engineer in charge. Before injecting the grout, it is advisable to make sure the nozzles are free of dust. Care is to be taken that the air pressure is monitored and maintained so as not to damage the matrix. Mix cementitious lime based hydraulic ready to use - Hydraulic Injection Suspension with 35 - 45% water by its weight in clean container using a low speed air driven mixer / stirrer to form a mix of uniform and flowable consistency. Depending on temperature, the water demand may vary. Lime based Hydraulic Injection Suspension should have ollowing properties: 1. Bulk Density: 1.8 ± 0.2 2. Compressive Strength (28 days): W/P (0.45) - Appx. 10 Mpa. It shall be applied as per manufacturer’s specification.",Kg.,As directed by Engineer-incharge,522,372
I No:52-41 / Pg No:444,"Remove roots of the plant from joints of the stone masonry manually. Make sure that no part of the root has remained inside the masonry. Pour thiazolinones based Microbial Wall Wash and Anti-rooting Solution as approved by Engineer in charge in the Stone Masonry joints depending upon width of roots, extent of damage and dimension of roots of plant. For wider roots, it is necessary to first drill the holes in the bark from all the sides which should subsequently totally filled with Microbial Wall Wash and Antirooting Solution so that the same percolate in the bark. On complete absorption of the liquid, refill and the process must be continued atleast 5 - 6 times, if necessary. Microbial Wall Wash and Antirooting Solution should have following properties: 1. pH (5 % Solution): 6 - 8 2. Specific Gravity @ RT: 1.05 ± 0.02 It shall be applied as per manufacturer’s specification. (If scaffolding is required, same shall be provided and will be paid under relevant item)",Kg.,As directed by Engineer-incharge,834,372
I No:52-42 / Pg No:445,"Visits ( minimum 2) to site of Bridge/Bandhara of length upto 100 m by Expert/Professional Consultant, noting the broad features like span, height, type of foundation, special features specific to the site to come to the conclusion of adopting standard design & drawing, checking suitability of site, finalizing site for construction of Bridge/Bandhara and submitting the observation note accordingly to Department. ( Transporation from Regional Head quarter to actual site and accomodation at site / Taluka head quarter / District Headquarter is not included in this item and it shall be paid separately wherever necessary.)",Per Site,As directed by Engineer-incharge,25000,0
I No:52-43 / Pg No:445,"Taking longitudinal section of stream extending 1.20 km on upstream side of the bandhara site, requisite number of cross sections (minimum 3) of the stream on upstream side, taking bed slope of stream and other details, taking 3 trial pits 1.00 m x 1.00 m x 3.00 m, plotting details of stratification indicating type of soil/rock, preparation of detailed survey data including preparation of hydraulic design including calculations for afflux, height of the weir and storage capacity of bandhara etc., obtaining the village map and studying the land width of nalla, make a preliminary assessment of likely storage of nalla with nalla training as per width shown in village map, marking on village map the locations of existing wells, bore wells within radius of 1.5 km and also depth of water and borewell depth, identifying the maji malgujari tanks or other lakes owned by Govt. within radius of 3 km, assessing the radial distance and plan area as per village map, preparing detailed plans referring the std. design & drawing and preparing detailed estimate as per approved SSR in 3 copies and submitting the project duly typed along with relevant drawings in hard and soft copies in CD / Pen Drive etc. as required by the Department.",No.,As directed by Engineer-incharge,126012,0
I No:52-44 / Pg No:445,To carry out linear Drone survey agencies will use fully autonomous professional survey grade drone and in post process for aerial triangulation required ground control points and  enchmarks will be collected by using survey grade dual frequency DGPS-PPK system. After post processing agency will deliver following final output. 1.Geotagged images in JPG format with resolution of 4-5cm/pixel with 70% overlap 2. GCP values in .CSV format. 3. 3D point cloud cover in .las format. 4. digital surface model (DSM) in .tiff format. 5. 2D orthorectified images in .t iff format with 5 cm resolution which gives capability to capture detailed features. For Linear UAV Survey,Km.,As directed by Engineer-incharge,8500,0
I No:52-45 / Pg No:446,To carry out polygon Drone survey agencies will use fully autonomous professional survey grade drone and in post process for aerial triangulation required ground control points and benchmarks will be collected by using survey grade dual frequency DGPS-PPK system. After post processing agency will deliver following final output. 1.Geotagged images in JPG format with resolution of 4-5cm/pixel with 70% overlap 2. GCP values in .CSV format. 3. 3D point cloud cover in .las format. 4. digital surface model (DSM) in .tiff format. 5. 2D rthorectified images in .t iff format with 5 cm resolution which gives capability to capture detailed features. For Polygon UAV Survey,Km.,As directed by Engineer-incharge,22900,0
I No:52-46 / Pg No:446,"Supplying and fixing M.S. Pipe 80 mm diameter ( 4.85 mm thick ) heavy type drilled on top and painted with one coat of epoxy primer and two coats of epoxy finish paint having black and white bands of 25 cm, last part of the post 0.75 mt. below ground level is painted with three coats of red lead paint with two number of high tensile G.I. bolt and nut of size 10 mm die of 25 mm long including transportation etc. complete.",R.Mt.,As directed by Engineer in charge,1401,174
I No:52-47 / Pg No:446,"Supplying and fixing G.I.. Pipe 50 mm diameter  heavy type drilled on top and painted with one coat of epoxy primer and two coats of epoxy finish paint having black and white bands of 25 cm, last part of the post 0.75 mt. below ground level is painted with three coats of red lead paint with  two number of high  tensile G.I. bolt and  nut  of size 10 mm die of  25 mm long including transportation etc. complete.",R.Mt.,As directed by Engineer in charge,1241,174
I No:52-48 / Pg No:446,"Medium Height Partition @ 1800/1200HT TILE BASED PARTITION SYSTEM
Tile based Aluminum partition system of 1800/1200mm ht. made of 60mm thick aluminum frames  having  two  separate  race  ways  for  laying  electrical  &  computer  wiring.  The  wire management  shall  be  through  to  the  race  way  to  be  fitted  at  bottom  of  partition  other immediately below of work top with  hook on type raceway cover for easy access of wires. Frames  to  be  joined  by  aluminum connectors  with  M6  x  16  pan-head  machine  screw  and washer with aluminum post cover. Post cover snap on fashion to be connected on aluminum connector visible aluminium to be in anodized / powdercoated finish. The top exposed sides of  the  frame  and  posts  should  be  covered  with  horizontal/  Vertical  trim and  caps  made  of Aluminum in anodized / powdercoated finish in order to enhance its look.Upper tiles on the partition  to  be  in  Soft  Board  or  Marker  or  prelaminated  partical  board  tile  of  9mm.  thk., prelaminated partical board lower tiles in laminate finish 9mm. thk. on both the sides
.Size :- 1200/1800mm (H)",Sq.Mt.,As directed by Engineer in charge,5741,0
I No:52-49 / Pg No:447,"Full Height Partitions in Solid finish
Providing and  Fixing  80mm to  85mm thick  Full  height  Double Skin  partition  up  to 3  mtr height with All visible sections in Anodized / Powdercoated finish. Made up of Frames and Tiles. Frame construction  In  combinaton  of  Aluminium Rails  and  Bottom ,Center and  Top members,  Connected  with  2  way  Round  Shape Post  ,  3way Post  , 4  way Post  made up  of Aluminium  Extruded  and  Tiles  in  9mm thk.  Prelaminated   Partical  Board  of  on  both  side. With  all  the  Joints  in  the  partitions  covered  with  PVC  extrusions  to  provide  better  sound Proofing. Tiles to be separated 55mm from each other to provide adequate space for drawing cables for electric, data and telephone with proper facility for fixing electrical and data switch plates. as per design and drawing.",Sq.Mt.,As directed by Engineer in charge,6459,0
I No:52-50 / Pg No:447,"Full Height Partitions in Glass finish
Providing and  Fixing  80mm to  85mm thick  Full  height  Double Skin  partition  up  to 3  mtr height with All visible sections in Anodized / Powdercoated finish. Made up of Frames and Tiles. Frame construction  In  combinaton  of  Aluminium Rails  and  Bottom ,Center and  Top members,  Connected  with  2  way  Round  Shape Post  ,  3way Post  , 4  way Post  made up  of Aluminium Extruded and Tiles in 5mm thk. Non Toughened Glass on both side. With all the Joints in the partitions covered with PVC extrusions to provide better sound Proofing. Tiles to be separated 55mm from each other to provide adequate space for drawing cables for electric, data  and  telephone  with  proper  facility  for  fixing  electrical  and  data  switch  plates.  as  per design and drawing.",Sq.Mt.,As directed by Engineer in charge,7894,0
I No:52-51 / Pg No:447,"Providing and  fixing  Factory  made  31mm ABS  Plastic  Door  made of  abs  plastic  moulded sheet of
1.5 mm thickness P.U. foam insulated of density 40 kg per cubic meter with seasoned wood to fit lock and hardware covered with aluminium ‘A’ section of
31mm x  27mm x27mm x 1.5mm thick powder  coated  and  fitted with  PVC ‘  L’ Corner  of dimension   75mm   x75mm   x   10mm   thick   on   all   four   sides   including   all   labour, material,stainless steel fixtures and fastening etc complete",Sq.Mt.,As directed by Engineer in charge,3627,495
I No:52-52 / Pg No:448,"Providing  and  fixing   4mm  thick   High  Pressure  interior  compact  Laminate  made  out  of thermosetting  resign  treated   Kraft  as  core  material  and  design  paper  as  a  finish  surface. Compact laminates should have the characteristic of flame retardant fulfilled the criteria of under   BS-476/97  and  EN438-6  with   classification  of   BS1D0  standard  property,  Anti bacterial  and  anti-termite  property  under  JIS  Z2801:2000,    Chemical  resistance,  Scratch resistant  ,fire  resistance,  weather  &  climatic  shock  resistance(  The   manufacturer   should provide10   years   warranty   certification   on    any   manufacturing   and   moisture   related defects.)The   compact   laminates    should   be   resistance    to    water   immersion   through permissible  increase  on  thickness  and  mass  <0.60%  and  board  should  have    density
>1.35kg/cm3   and  fulfilled  the  criteria  of  FSCand  Green  Guard  Gold  certification  and manufactured  under  EN438-2&3:2005  standard  .  Finish  and   colour  of  compact  laminates should   be  finalised    under  direction   of  Engineer  –in-charge.Including  fixing  Compact laminates    on  25x50mm  aluminium  tube  or  approved  tube  size   at  600mm  c/c   under desirable  height  and  fixed  through  same compact  colour  rievts  or  compact  adhesive as  per recommended  by  compact  supplied  agency.  Finish  and  colour  of  Interior  clade  should  be approved under engineer-in-charge direction.",Sq.Mt.,As directed by Engineer in charge,3933,798
I No:52-53 / Pg No:448,"Providing  and  fixing   6  mm  thick   High  Pressure  interior  compact  Laminate  made  out  of thermosetting  resign  treated   Kraft  as  core  material  and  design  paper  as  a  finish  surface. Compact laminates should have the characteristic of flame retardant fulfilled the criteria of under   BS-476/97  and  EN438-6  with   classification  of   BS1D0  standard  property,  Anti bacterial  and  anti-termite  property  under  JIS  Z2801:2000,    Chemical  resistance,  Scratch resistant  ,fire  resistance,  weather  &  climatic  shock  resistance(  The   manufacturer   should provide10   years   warranty   certification   on    any   manufacturing   and   moisture   related defects.)The   compact   laminates    should   be   resistance    to    water   immersion   through permissible  increase  on  thickness  and  mass  <0.60%  and  board  should  have    density
>1.35kg/cm3   and  fulfilled  the  criteria  of  FSCand  Green  Guard  Gold  certification  and manufactured  under  EN438-2&3:2005  standard  .  Finish  and   colour  of  compact  laminates should  be  finalised   under  direction  of  Engineer  –in-charge.  including  fixing  Compact laminates  on  25x50  mm  aluminium  tube  or  approved  tube  size   at  600  mm  c/c   under desirable  height  and  fixed  through  same compact  colour  rievts  or  compact  adhesive as  per recommended  by  compact  supplied  agency.  Finish  and  colour  of  Interior  clade  should  be approved under engineer-in-charge direction.",Sq.Mt.,As directed by Engineer in charge,4605,798
I No:52-54 / Pg No:448,"This Item is Deleted -- Providing and fixing after cutting in proper size and shape bamboo pole of bambusa balcooa / bambusa bamboos or equivalent with minimum wall thickness of 10mm & distinctive internodes of 300 mm max Size 100mm (+/- 10mm) dia. (i.e., 100mm dia. In bottom & top dia. Should not be less than 75mm & average dia. Should not be less than 85 mm, taper length should not be more than 2.5mm per RMT), well seasoned by freshly cut canes including treatment with preservative inside the bamboo pole, & dosing with CCB (Chromium Copper Bromate) using pressure vacuum treatment plant with retention level minimum 8 % and in accordance with IS 9096. The framing is connected by articulated joints preferred with bamboo wedging without filling, including bending, bunching of bamboos as per design with bamboo pegs in inclined 45 degree manner, SS bolt (304 Grade), studs (304 grade), GI plates coated with epoxy coating, including transportation and cost of material, antiabrasive fire retardant coating ( Two coats before bunching and final coat after complete installation as directed by Engineer in Charge), necessary scaffolding with all lead, lift, machinery & equipment charges, etc. complete, as directed by the Engineer in charge. Bamboo pole for Main structure like Beam, Column etc. or as per deswign",R.Mt.,As directed by Engineer-incharge,0,0
I No:52-55 / Pg No:448,"This Item is Deleted -- Providing and fixing after cutting in proper size and shape bamboo pole of bambusa balcooa / bambusa bamboos or equivalent with minimum wall thickness of 10mm & distinctive internodes ( 300mm max) Size 75mm (+/- 8mm) (i.e., 75mm dia. In bottom & top dia. Should not be less than 50mm & average dia. Should be 60mm & taper length should not be more than 2.5mm per Rmt), dia well seasoned by freshly cut canes including treatment with preservative inside the bamboo pole,& dosing with CCB (Chromium Copper Bromate) using pressure vacuum treatment plant with retention level minimum 8 % and in accordance with IS 9096. The framing is connected by articulated joints preferred with bamboo wedging without filling, including bending, bunching of bamboos as per design with bamboo pegs in inclined 45 degree manner, SS bolt (304 Grade), studs (304 grade) of bamboos as per design GI plates coated with epoxy coating, including transportation and cost of material, antiabrasive fire retardant coating ( Two coats before bunching and final coat after complete installation as directed by Engineer in Charge), necessary scaffolding with all lead, lift, machinery & equipment charges, etc. complete, as directed by the Engineer in charge. Bamboo pole for Main structure like Beams,columns etc as per design",R.Mt.,As directed by Engineer-incharge,0,0
I No:52-56 / Pg No:448,"This Item is Deleted -- Providing and fixing after cutting in proper size and shape bamboo pole of dendrocalamus stocksii or equivalent with minimum wall thickness of 10mm & distinctive internodes ( 300mm max) Size 50mm (+/- 5mm) (i.e., 50mm dia. In bottom & top dia. Should not be less than 35mm & average dia. Should be 40mm dia. & taper length should not be more than 2.5mm per Rmt) which is well seasoned by freshly cut canes including treatment with preservative inside the bamboo pole, & dosing with CCB (Chromium Copper Bromate) using pressure vacuum treatment plant with retention level minimum 8 % and in accordance with IS 9096. The framing is connected by articulated joints preferred with bamboo wedging without filling, including bending of bamboos as per design or SS bolt, studs (304 grade), GI plates coated with epoxy coating, including transportation and cost of material,antiabrasive fire retardant coating ( Two coats before bunching and final coat after complete installation as directed by Engineer in Charge), necessary scaffolding with all lead, lift, machinery & equipment charges, etc. complete, as directed by the Engineer in charge. Bamboo pole for Purlins, Ties,Facia,Gap Filling etc",R.Mt.,As directed by Engineer-incharge,0,0
I No:52-57 / Pg No:448,"This Item is Deleted -- Providing and fixing Bamboo jaffery/ fencing consisting of superior quality (Dendrocalamus Stocksii ) or equivalent 25 mm dia (Average) half cut bamboo placed vertically and fixed  ogether with three numbers horizontal running members of hollock wood in scantling of section 50 X 25 mm, fixed with nails and G.I wire on existing support complete with scaffolding if required, labour and material charges as per direction of Engineer-in-charge. Bamboo pole 25mm & 2.5m long requare for Bamboo jaffery.",Sq.Mt.,As directed by Engineer-incharge,0,0
I No:52-58 / Pg No:448,"This Item is Deleted -- Providing and fixing of Aerocon panel of approved make of size 3.00 mtr × 0.6 mtr and thickness 75mm on MS ANGLE 75mm × 75mm × 5mm in length & 50mm × 5mm flats in longitudinal on spacing of 600mm direction welded back to back with required screws ncluding fixtures and fastenings, gaps to be filled by POP with necessary scaffolding with all lead and lift, machinery and equipment charges etc. complete as directed by Engineer in Charge",Sq.Mt.,As directed by Engineer-incharge,0,0
I No:52-59 / Pg No:448,"This Item is Deleted -- Providing and spraying liquid mixture of potable water and 'STINK OFF' (enzyme-based odour removing powder ) on the areas such as toilet blocks, urinals area, garbage depot, solid waste dumping yard, solid waste treatment plants, hospitals, any area with unpleasant  mell shown by Engineer in charge with spray gun of required capacity, the liquid mixture shall be prepared as directed by manufacturer as 4.00 grams of STINK OFF in 1.00 liter of potable water, to be mixed at least 6.00 hours before use, etc. complete.",Sq.Mt.,As directed by Engineer-incharge,0,0
I No:52-60 / Pg No:448,"This Item is Deleted -- Kerb  stone /  vertical  surface painting with  Kataline make Grade 1   (as  per IS  164 )   water based acrylic paint,preferably mechnical application for one coat priming coat and 1 uniform Retro  reflective  finish  coat  in  required  colour.  Yellow  Retroreflecive  coat  shall  be  Bright Yellow during night with minimum Rl(dry) > 375 mcd / m2 / lux and Rl (wet) > 200 mcd / m2 /lux and
White Retroreflective Coat  shall  be Bright  White during night  with  minium Rl(dry)  >  450 mcd / m2 / lux and Rl(wet) > 250 mcd / m2 / lux   .Cleaning of the surface thoroughly by removing flakes,dust deposits, vegetation growth,pasted paper etc., using coir / coil brush,so as to enable the application of respective primer etc.",Sq.Mt.,As directed by Engineer in charge,0,0
I No:53-1 / Pg No:449,"Supplying,  Drilling/Cleaning  hole  and  injecting  Hilti  make  ETA  Approved  RE500V3 chemical. Application to be designed separately for Rebars as Simply Supported, Moment or Splice Connection as per EC2/TR 023 or relevant tested and accepted rebar guidelines. The chemical  should  have  ETA  approval  for  seismic  rebar  as  a  minimum  qualifying  criterion. Drilling  hole  with  double  flute  type  drill  bits  or  hollow  drill  bits  to  the  required  depth  by rotary hammer drill, cleaning with brush and jet of clean air, filling resin and hardener using serrated  nozzle  to  eliminate  mixing  error  with  standard  HDE  A22  battery  dispenser  along with piston plug. The installation and the setting instructions should be strictly followed  as per the manufacturer’s recommendations. The adequate diameter and embedment of rebars to be  decided  as  per  PROFIS  Rebar  Software  &  the  report  to  be  submitted  to  the  project manager/ design engineer for approval. Scanning before drilling to be done to avoid hitting existing rebars. Re 500 -8mm dia 160mm depth",No.,"Bd.C.2 Page No.
275",243,19
I No:53-2 / Pg No:449,"Supplying,  Drilling/Cleaning  hole  and  injecting  Hilti  make  ETA  Approved  RE500V3 chemical. Application to be designed separately for Rebars as Simply Supported, Moment or Splice Connection as per EC2/TR 023 or relevant tested and accepted rebar guidelines. The chemical  should  have  ETA  approval  for  seismic  rebar  as  a  minimum  qualifying  criterion. Drilling  hole  with  double  flute  type  drill  bits  or  hollow  drill  bits  to  the  required  depth  by rotary hammer drill, cleaning with brush and jet of clean air, filling resin and hardener using serrated  nozzle  to  eliminate  mixing  error  with  standard  HDE  A22  battery  dispenser  along with piston plug. The installation and the setting instructions should be strictly followed  as per the manufacturer’s recommendations. The adequate diameter and embedment of rebars to be  decided  as  per  PROFIS  Rebar  Software  &  the  report  to  be  submitted  to  the  project manager/ design engineer for approval. Scanning before drilling to be done to avoid hitting existing rebars. Re 500 -10 mm dia 200mm depth",No.,"Bd.C.2 Page No.
275",436,19
I No:53-3 / Pg No:450,"Supplying,  Drilling/Cleaning  hole  and  injecting  Hilti  make  ETA  Approved  RE500V3 chemical. Application to be designed separately for Rebars as Simply Supported, Moment or Splice Connection as per EC2/TR 023 or relevant tested and accepted rebar guidelines. The chemical  should  have  ETA  approval  for  seismic  rebar  as  a  minimum  qualifying  criterion. Drilling  hole  with  double  flute  type  drill  bits  or  hollow  drill  bits  to  the  required  depth  by rotary hammer drill, cleaning with brush and jet of clean air, filling resin and hardener using serrated  nozzle  to  eliminate  mixing  error  with  standard  HDE  A22  battery  dispenser  along with piston plug. The installation and the setting instructions should be strictly followed  as per the manufacturer’s recommendations. The adequate diameter and embedment of rebars to be  decided  as  per  PROFIS  Rebar  Software  &  the  report  to  be  submitted  to  the  project manager/ design engineer for approval. Scanning before drilling to be done to avoid hitting existing rebars. Re 500 -12 mm dia 240mm depth",No.,"Bd.C.2 Page No.
275",541,19
